Exp,Tank,Treatment,AbbrvTreat,AdultCyclopoid,adultcalanoid,Alona,Bosmina,Ceriodaphnia,Chydorid,D.dentifera,D.parvula,D.Pulex,TotDaphnia,Diaphanosoma,Eurycerus,TotalPleroxis,Scapholeberis,Simocephalus,Ostracod
CT1,1,C,NoFish,0.897435897,26.50997151,26.70940171,0.213675214,106.3247863,23.16239316,,0,0.042735043,0.042735043,16.45299145,0,,11.92307692,0.427350427,13.8034188
CT1,3,C,NoFish,1.310541311,5.584045584,1.965811966,0,43.20512821,34.47293447,,0.042735043,3.247863248,3.290598291,19.57264957,0,,3.760683761,0,27.09401709
CT1,5,C,NoFish,0.655270655,17.46438746,0.170940171,0,104.2735043,8.418803419,,0,1.111111111,1.111111111,53.88888889,0,,0.598290598,0.213675214,0.128205128
CT1,11,C,NoFish,3.048433048,10.78347578,2.692307692,0,114.1452991,9.273504274,,0.042735043,2.136752137,2.179487179,3.717948718,0,,1.111111111,0,9.316239316
CT1,14,C,NoFish,1.923076923,5.868945869,11.11111111,38.16239316,99.61538462,53.84615385,,10.85470085,3.418803419,14.52991453,22.26495726,0,,4.786324786,1.837606838,2.735042735
CT1,15,C,NoFish,0.541310541,20.28490028,10.5982906,0.128205128,157.3931624,12.82051282,,0,0,0,2.136752137,0,,10.76923077,0.427350427,5.256410256
CT1,18,C,NoFish,2.051282051,16.85185185,1.025641026,0,207.5213675,13.37606838,,0.128205128,11.92307692,12.05128205,15.04273504,0,,33.84615385,1.025641026,0.256410256
CT1,4,N,NoFish,9.017094017,1.851851852,2.64957265,0.085470085,65.5982906,18.76068376,,0.042735043,2.35042735,2.435897436,10.64102564,0.042735043,,11.96581197,2.307692308,6.068376068
CT1,7,N,NoFish,1.096866097,21.12535613,1.068376068,0,50,11.23931624,,0,0.170940171,0.170940171,7.179487179,0,,21.66666667,0,11.36752137
CT1,8,N,NoFish,0.698005698,16.50997151,15.76923077,9.829059829,209.7863248,25,,0.042735043,0.256410256,0.299145299,29.31623932,0.042735043,,14.05982906,0.085470085,8.418803419
CT1,9,N,NoFish,4.401709402,12.69230769,23.24786325,40.11396011,53.93162393,1.837606838,,32.13675214,21.28205128,57.43589744,11.41025641,0.042735043,,15.21367521,3.931623932,4.05982906
CT1,10,N,NoFish,2.678062678,7.492877493,4.487179487,17.82051282,54.65811966,11.02564103,,0,0.042735043,0.042735043,8.931623932,0,,6.709401709,0.982905983,14.87179487
CT1,12,N,NoFish,1.054131054,14.82905983,0.170940171,0,130.1282051,12.99145299,,0,0.042735043,0.042735043,82.00854701,0,,6.282051282,0,0.085470085
CT1,13,N,NoFish,2.094017094,17.35042735,0.94017094,0,81.41025641,3.675213675,,0,0.128205128,0.128205128,19.23076923,0.213675214,,17.56410256,3.418803419,6.41025641
CT1,2,F,Fish,5.384615385,9.017094017,14.82905983,13.41880342,77.13675214,23.03418803,,17.60683761,8.333333333,27.56410256,29.95726496,0.085470085,,9.188034188,1.282051282,8.675213675
CT1,6,F,Fish,0.484330484,2.037037037,16.15384615,35.38461538,311.0683761,15.38461538,,0.94017094,0.042735043,1.153846154,2.35042735,0.47008547,,16.58119658,0.299145299,1.666666667
CT1,17,F,Fish,10.51282051,2.293447293,3.547008547,0,28.29059829,47.73504274,,0,0,0,0.683760684,0,,9.05982906,3.974358974,4.017094017
CT1,19,F,Fish,4.52991453,7.849002849,18.24786325,0,86.11111111,34.25925926,,0,0.128205128,0.170940171,9.658119658,0,,15.72649573,0.042735043,13.88888889
CT1,20,F,Fish,4.928774929,8.532763533,69.4017094,0.042735043,153.8034188,122.1794872,,0.384615385,0,0.512820513,14.95726496,0,,19.78632479,4.444444444,19.87179487
CT1,21,F,Fish,5.356125356,1.695156695,1.495726496,0,20.21367521,31.83760684,,0,0,0,3.247863248,0.128205128,,21.62393162,0.128205128,14.31623932
CT1,22,F,Fish,4.287749288,1.438746439,2.136752137,0.256410256,40.98290598,51.58119658,,0,0,0,0.94017094,0,,4.487179487,4.957264957,2.521367521
CT2,3,C,NoFish,1.562513542,0.034722917,0.127316319,36.72728522,89.27926172,6.111105556,7.650465278,,0.034722917,7.685188194,23.14835347,4.155100694,,3.333301042,0,1.238421875
CT2,6,C,NoFish,1.435185069,0.219909375,0.173611806,19.76842847,75.68124519,5.671289236,6.157352431,,86.22778646,92.38513889,1.527791319,1.539359028,,1.550910417,0,1.0301
CT2,7,C,NoFish,2.222241319,0.289355556,0.185185764,125.7300439,122.16127,0,0.555559375,,0,0.555559375,48.94759688,4.490779167,,3.402746528,2.013877431,0.289351042
CT2,10,C,NoFish,0.300929514,1.782413889,0.092591667,33.78478438,71.67562005,0.717592014,0.196760417,,0,0.196760417,17.58133229,8.958430556,,1.87498125,0,2.812488194
CT2,15,C,NoFish,1.689839236,0,0,16.19199861,21.5808058,2.395880208,20.83338958,,0.069445833,20.90283542,21.50485,0.312503125,,1.423596875,0.717590625,0.428239583
CT2,17,C,NoFish,1.828705556,0.648144444,0.335644792,201.6567068,205.6711849,0.092593056,0,,0.046295833,0.046295833,0.902787847,8.541652778,,2.6388625,0,0.879623611
CT2,21,C,NoFish,0.787046181,1.539365278,0,68.11395573,280.2539023,0.925930556,0,,0.682863542,0.682863542,100.898349,1.6551125,,2.708310417,0,8.819411458
CT2,22,C,NoFish,6.782496528,0.393523958,0,0.289351389,257.2437292,0.706019097,0,,0.115742014,0.115742014,31.09168542,2.696790625,,1.377302083,0,4.988436458
CT2,1,M,NoFish,0.983798958,0.763886458,0.104165625,0.231480556,2.789342014,0,40.6333645,,0.208333681,40.84169818,18.83117986,4.050944444,,0.081017708,0.787036806,0.532407292
CT2,5,M,NoFish,2.604184722,0.717597222,0.636582292,33.62261701,63.87485402,0.034721875,0,,1.19214375,1.19214375,64.3455247,2.465275347,,0.428237847,0,0.555552431
CT2,8,M,NoFish,0.266205903,0.416663889,0,0.868046875,69.27082656,0,0,,3.194455208,3.194455208,64.16711788,11.72472639,,0.90276875,7.882017014,0.729167708
CT2,12,M,NoFish,2.233822917,0.798616667,0,10.26614549,0.219909375,0,0.21990625,,11.87522465,12.0951309,57.83597813,1.122705556,,0.601845833,0.06944375,0.949072917
CT2,14,M,NoFish,2.962989236,0.648150694,0.046295833,27.26858924,10.96062778,9.479221528,0.06944375,,9.861252083,9.930695833,103.139888,0.081020139,,0.995360417,0.034721875,4.050912847
CT2,16,M,NoFish,1.469912847,3.449081944,9.432954514,0.416665972,158.4426339,0,0,,0.648142708,0.648142708,44.69110156,0,,1.423598264,12.95140486,5.115729167
CT2,20,M,NoFish,4.016231597,0.543983333,0,1.701371875,717.0764948,0,0.729167014,,2.592615972,3.321782986,7.476935417,0.925929514,,9.120279167,0,0.081017708
CT2,23,M,NoFish,3.379680903,3.310204514,0.115739583,125.9956879,123.6670025,92.13224873,3.946760764,,0.370377778,4.317138542,23.33785502,2.7083875,,1.377302431,0,6.284812847
CT2,2,F ,Fish,1.956040278,0,0.648152083,0.798604167,0.034722917,0,15.64802257,,0.740737847,16.38876042,88.31597218,18.946925,,2.685160764,0.104165625,1.45833125
CT2,4,F ,Fish,3.993124306,7.210683333,10.13328611,66.3876333,52.71432569,3.182888194,14.15505243,,0.1388875,14.29393993,20.87030336,2.708368056,,3.668946181,0.069444792,6.678292361
CT2,9,F ,Fish,13.93530417,4.884301042,0.324070833,194.7521943,108.102026,0.925923264,27.1412684,,54.85633715,81.99760556,16.6436184,1.168993056,,0.254627083,0.08101875,2.488422222
CT2,11,F ,Fish,1.365755903,9.398275,0.034721875,2.4305375,14.90750208,0.856482639,0.034721875,,2.465314931,2.500036806,21.93319479,13.36823403,,5.405038542,0.127313542,0.509255208
CT2,13,F ,Fish,7.812614931,18.06741285,0.06944375,162.111166,0.405090625,0.034722917,0.185183333,,6.643528819,6.828712153,13.22919028,15.16224757,,0.659715625,0,0.370371875
CT2,18,F ,Fish,3.599590972,34.63574861,0,1.2499875,88.44949913,0.034722917,0,,0.034722917,0.034722917,2.175924306,0,,1.550911806,0,1.157412153
CT2,19,F ,Fish,43.78901052,0.983808333,0.150463542,2399.470198,8.900514583,0.150465972,0,,104.0672063,104.0672063,17.31478889,11.9097375,,17.98652234,0,0.624995139
CT2,24,F ,Fish,2.349567014,1.192153472,0.046295833,205.1534601,154.758541,0.1736125,0,,1.979201389,1.979201389,133.8514271,14.53723056,,12.91653854,0,4.340284722
CT3,1,C,NoFish,4.6,0,5.4,2,7.8,2.2,,,149.6,149.6,0,0,,0.2,0,37.4
CT3,31,C,NoFish,3.4,0,6,0.2,17.6,7.2,,,55.4,55.4,9,0,,1.8,0,17.8
CT3,24,C,NoFish,14.2,2.4,68.61818182,80.36363636,47.14666667,9.6,,,2.8,2.8,0,0,,0.2,0,46.69333333
CT3,11,C,NoFish,6.6,3.4,74.04444444,178.16,67.38181818,18.4,,,19.4,19.4,60.58181818,0,,1.2,1.8,28.97391304
CT3,15,C,NoFish,19.8,0.8,247.0666667,0.2,130.1714286,0.2,,,85,85,0.2,0,,0,0,40.4
CT3,8,C,NoFish,12.4,0.4,32.45454545,30.6,17.8,30.90909091,,,113.6571429,113.6571429,4.6,0,,3.8,0,119.4857143
CT3,40,C,NoFish,2,0.2,88.4,1,21.2,4.2,,,228.9333333,228.9333333,0.6,0,,4,0,150.96
CT3,39,C,NoFish,0,0,37.4,20,0.8,238,,,19.6,19.6,48.08571429,0,,0.6,0,24
CT3,43,C,NoFish,3.6,0.2,16.6,0,112.2,0.2,,,0.2,0.2,6.4,0,,0.2,0,20.2
CT3,13,F,Fish,28,2.4,42.4,0.8,75.55555556,61.72307692,,,21.6,21.6,0,0,,26.656,0,5.2
CT3,28,F,Fish,2.4,0,8.4,0.2,17.6,19.2,,,47.6,47.6,11.2,0,,2,0,32.58333333
CT3,25,F,Fish,10.2,1.2,111.0666667,48.57142857,360.4,136,,,1.4,1.4,5,0,,3.8,6,34.30909091
CT3,5,F,Fish,11.6,0.2,49.11111111,3.6,26.93846154,0.6,,,84.62222222,84.62222222,1.4,0,,0,0,47.97777778
CT3,32,F,Fish,6.2,1,84.15,0.4,108.8,50.575,,,32.14545455,32.14545455,15.4,0,,1.6,2.6,48.45
CT3,22,F,Fish,4.6,0.2,8.8,48.4,60.67692308,1,,,54.4,54.4,2,0,,3,0,38.4
CT3,12,F,Fish,0.6,0.4,505.4666667,0,0.6,0,,,1,1,195.5,0,,0,0,12.8
CT3,37,F,Fish,0.4,0,54.92307692,0.2,3,3.6,,,214.2,214.2,0,0,,2.2,0,78.2
CT3,42,F,Fish,13.6,1,6,0.2,185.3,2.6,,,1.2,1.2,9.4,0,,2.6,0,13.6
CT4,8,C,NoFish,0.6,8.2,40.8,7.8,7.6,70.04,14,,37.06,51.06,9.8,,0.2,7.4,,12
CT4,11,C,NoFish,18,8.8,4.2,27.2,13.4,51.68,5.4,,36.04,41.44,22.8,,0,1.8,,20.8
CT4,24,C,NoFish,18.2,4.2,58.36666667,39.78,13,37.74,31.73333333,,41.175,72.90833333,1.6,,2.4,0.2,,8.2
CT4,30,C,NoFish,4,3.2,10.8,1.4,0.2,51.48571429,1,,72.76,73.76,4.4,,0.4,1.2,,76.16
CT4,35,C,NoFish,29.46666667,4,32.3,15.4,34.56666667,35.7,0.2,,29.4,29.6,0,,0,0.6,,10.4
CT4,39,C,NoFish,5.8,5.8,6.6,59.5,0.2,17.6,4.4,,18,22.4,14.8,,0.2,2.4,,13.6
CT4,4,C-P,NoFish,1,1.2,62.43636364,37.22105263,0,32.3,7.6,,17.4,25,0,,1,0.4,,52.02
CT4,9,C-P,NoFish,1,11.2,5.2,3.8,1.6,22.3125,12,,30.6,42.6,3.2,,1,0.8,,10.6
CT4,20,C-P,NoFish,6.6,10.6,2.6,0.4,2.6,85.68,10,,39.45454545,49.45454545,25.10769231,,0,0,,46.14285714
CT4,21,C-P,NoFish,11.6,4.8,12.6,13,2.6,95.2,3.4,,39.44,42.84,12,,0.8,0.6,,29.6
CT4,27,C-P,NoFish,6.2,4.8,14.2,0.2,9,83.3,5.2,,20.4,25.6,0.2,,16.4,0.6,,23.2
CT4,33,C-P,NoFish,0.4,5,2.8,38.15555556,0.6,7.2,6,,31.83636364,37.83636364,3,,5,1,,16.6
CT4,38,C-P,NoFish,8,0.4,61.2,8.4,12,31.52727273,0.6,,4.2,4.8,0,,0.6,1.4,,6.6
CT4,3,K,Fish,23.6,7.4,4.6,65.28,0.4,0.6,8,,57.42222222,65.42222222,17.2,,0,0.2,,6.4
CT4,12,K,Fish,14.2,15.8,1.8,11.2,4.2,10.8,7.8,,48.875,56.675,23.2,,0,1.6,,3.8
CT4,15,K,Fish,12.2,0,6.2,2.2,0.6,11,5.6,,29,34.6,0.2,,0,1.6,,3
CT4,23,K,Fish,4.4,1.6,2,1.8,0,1.4,4.8,,52.94285714,57.74285714,7,,0,0.4,,9.4
CT4,25,K,Fish,1,0,15.6,3.4,0.4,1.6,27.98461538,,94.92,122.9046154,0,,0,2.6,,15.8
CT4,34,K,Fish,8.6,2.6,14.4,1.6,4,49.14545455,6.6,,20.2,26.8,0,,0,0,,7.8
CT4,41,K,Fish,5,6.2,9.8,58.77142857,1.2,6.2,28.05,,15.8,43.85,4.4,,0,1,,16.4
CT4,5,K-P,Fish,1.8,2.4,13.4,137.1333333,0.8,6.6,0,,35.54545455,35.54545455,0,,0.4,7.4,,2.2
CT4,10,K-P,Fish,1.2,7.2,5.2,27.4,1.6,0.8,5.6,,37.4,43,15.8,,0.2,0.8,,16.4
CT4,14,K-P,Fish,1.8,1.8,1,4.8,1,0.6,41.82,,88.6,130.42,34.56666667,,0,1,,8
CT4,22,K-P,Fish,3.4,6.8,2.4,5.2,0.8,3.4,7.2,,52.45714286,59.65714286,30.29090909,,0,0.6,,17
CT4,29,K-P,Fish,0.6,0.6,10.6,107.6666667,0.6,10.4,45.9,,36.38,82.28,0,,0,1.6,,4
CT4,36,K-P,Fish,8.2,3.4,56.1,53.83333333,27.8,56.1,3.4,,5.6,9,0,,0.2,1.6,,5
CT4,37,K-P,Fish,3,4.6,7,140.08,7.2,5,23,,21,44,69.7,,0,1.4,,3.2
